t,D1,D2,scale,sc_length,rapt
-4.93342000000E-03,9.38243000000E-02,7.96477000000E-02,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
3.51970000000E-05,1.21825000000E-01,1.05272000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
5.00692000000E-03,1.48971000000E-01,1.32110000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.00293000000E-02,1.69648000000E-01,1.54754000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.50289000000E-02,1.84671000000E-01,1.72366000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
2.00178000000E-02,1.99462000000E-01,1.87765000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
2.29875000000E-02,2.11079000000E-01,1.98521000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
2.50050000000E-02,2.18147000000E-01,2.04361000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
3.00141000000E-02,2.35017000000E-01,2.19592000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
3.50152000000E-02,2.41905000000E-01,2.28285000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
4.00067000000E-02,2.42540000000E-01,2.30988000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
4.50103000000E-02,2.45905000000E-01,2.34718000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
5.00128000000E-02,2.50317000000E-01,2.39079000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
5.50151000000E-02,2.51080000000E-01,2.40877000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
6.00155000000E-02,2.53177000000E-01,2.42899000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
6.50083000000E-02,2.57483000000E-01,2.46772000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
7.00181000000E-02,2.57087000000E-01,2.46921000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
7.50107000000E-02,2.57211000000E-01,2.47186000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
8.00102000000E-02,2.58535000000E-01,2.48422000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
8.50030000000E-02,2.59789000000E-01,2.49712000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
9.00131000000E-02,2.60109000000E-01,2.50321000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
9.50096000000E-02,2.60096000000E-01,2.50587000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.00005000000E-01,2.60707000000E-01,2.51310000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.05016000000E-01,2.61181000000E-01,2.52009000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.10019000000E-01,2.61618000000E-01,2.52651000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.15000000000E-01,2.62417000000E-01,2.53441000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.20003000000E-01,2.63548000000E-01,2.54756000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.25021000000E-01,2.63995000000E-01,2.55464000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.30020000000E-01,2.64392000000E-01,2.56068000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.35002000000E-01,2.65035000000E-01,2.56847000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.40011000000E-01,2.65549000000E-01,2.57547000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.45009000000E-01,2.65871000000E-01,2.58061000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.50013000000E-01,2.66293000000E-01,2.58621000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.55002000000E-01,2.66843000000E-01,2.59289000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.60001000000E-01,2.67195000000E-01,2.59769000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.65008000000E-01,2.67469000000E-01,2.60116000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.70017000000E-01,2.67901000000E-01,2.60544000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.75006000000E-01,2.68421000000E-01,2.61079000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.80010000000E-01,2.68811000000E-01,2.61548000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.85016000000E-01,2.69053000000E-01,2.61908000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.90013000000E-01,2.69310000000E-01,2.62276000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
1.95011000000E-01,2.69667000000E-01,2.62732000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
2.00007000000E-01,2.69975000000E-01,2.63128000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
2.05016000000E-01,2.70260000000E-01,2.63566000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
2.10013000000E-01,2.69200000000E-01,2.62924000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
2.15005000000E-01,2.66813000000E-01,2.61014000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
2.20004000000E-01,2.62864000000E-01,2.57605000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
2.25005000000E-01,2.57772000000E-01,2.53034000000E-01,1.05000000000E+00,1.00000000000E+00,1.00000000000E+00
